MEAN,STD,MAX,VAR,SKEWNESS,KURTOSIS,RMS,PEAK2PEAK,PEAK2RMS,# MAXIMA,VIBRATION CLASS
0.003587961,0.000208872,0.003587961,4.36E-08,7.38639624,98.96670915,0.005783205,0.108791209,9.823824303,222,WALKING
0.00359011,0.000267122,0.00359011,7.13E-08,3.694611291,33.2172438,0.007571632,0.166007326,12.39927953,231,WALKING
0.003603541,0.000168649,0.003603541,2.84E-08,12.34570175,241.0369931,0.004775527,0.078168498,10.3780033,232,WALKING
0.003631477,0.00020456,0.003631477,4.18E-08,7.154767635,106.6889174,0.005936629,0.09025641,8.348246389,237,WALKING
0.002187375,8.53E-05,0.002187375,7.27E-09,21.30096536,529.3764957,0.002418321,0.017728938,4.165394949,249,WALKING
0.002128278,8.79E-05,0.002128278,7.71E-09,18.03135454,415.1298376,0.002480496,0.021758242,5.360501289,246,WALKING
0.002170183,9.56E-05,0.002170183,9.13E-09,14.32128068,305.2322466,0.002825111,0.036263736,7.27385618,234,WALKING
0.002146545,0.000187128,0.002146545,3.50E-08,2.912610009,17.93637718,0.005072514,0.150695971,16.28398442,211,WALKING
0.002130427,0.000118485,0.002130427,1.40E-08,7.343934819,111.1451056,0.003558934,0.058827839,9.170543243,218,WALKING
0.002174481,0.000148415,0.002174481,2.20E-08,4.618465296,48.82072661,0.004116635,0.100732601,14.38815333,209,WALKING
0.002195971,0.000117216,0.002195971,1.37E-08,8.191749972,134.4575643,0.003387912,0.067692308,11.53638121,219,WALKING
0.002168571,0.000175094,0.002168571,3.06E-08,3.334514725,24.57313182,0.004777611,0.145054945,15.26503662,202,WALKING
0.002121294,8.28E-05,0.002121294,6.85E-09,21.15455789,525.0821561,0.002357809,0.022564103,5.98121626,236,WALKING
0.002214237,0.00010939,0.002214237,1.20E-08,10.1434119,186.4217107,0.00320765,0.054798535,10.17485034,244,WALKING
0.002289451,0.000144949,0.002289451,2.10E-08,5.756384657,68.2286429,0.003961639,0.065274725,8.441764564,234,WALKING
0.002258291,0.000108522,0.002258291,1.18E-08,10.96833965,209.8880087,0.003187625,0.042710623,6.699441918,249,WALKING
0.002273333,0.000166728,0.002273333,2.78E-08,3.801742714,33.95298076,0.005257387,0.126520147,13.25885906,231,WALKING
0.002257753,0.000144418,0.002257753,2.08E-08,5.759576518,66.23776835,0.003980488,0.083003663,11.64103537,226,WALKING
0.002277094,0.000132414,0.002277094,1.75E-08,6.746678959,91.32451927,0.004117475,0.107985348,16.73382219,208,WALKING
0.002234652,0.000122519,0.002234652,1.50E-08,8.441129508,128.1682213,0.003303076,0.04996337,8.417063027,242,WALKING
0.002236264,0.000101876,0.002236264,1.04E-08,12.83107725,261.3478157,0.003064447,0.053992674,9.072501423,251,WALKING
0.002212625,0.000104378,0.002212625,1.09E-08,11.76703944,229.5068383,0.003026516,0.053992674,9.985006768,239,WALKING
0.002158901,0.000156134,0.002158901,2.43E-08,3.952724137,35.98633657,0.004795778,0.139413919,19.24005948,252,WALKING
0.002144396,0.000104824,0.002144396,1.10E-08,10.46412422,196.9522191,0.003017496,0.050769231,8.679539072,228,WALKING
0.002141709,0.000119162,0.002141709,1.42E-08,7.641627869,116.7099497,0.003255713,0.057216117,8.787033952,217,WALKING
0.00220188,0.000147499,0.00220188,2.17E-08,4.158281999,45.9156009,0.004834326,0.126520147,14.08577736,188,WALKING
0.002163199,8.52E-05,0.002163199,7.25E-09,20.60405847,505.4485868,0.002426536,0.020952381,4.815498504,250,WALKING
0.002140098,0.000149619,0.002140098,2.24E-08,4.511411651,43.49140871,0.004802179,0.091062271,9.816971161,215,WALKING
0.001710933,0.000281126,0.002134188,7.89E-08,1.493567482,2.758533373,0.007937197,0.167619048,11.92973366,246,WALKING
0.002165348,0.000126247,0.002165348,1.59E-08,6.653013475,92.51189182,0.003668129,0.06043956,9.117242054,234,WALKING
0.00218254,0.000202019,0.00218254,4.08E-08,2.133718251,11.57814232,0.006017124,0.143443223,13.99546612,251,WALKING
0.002183614,0.000114973,0.002183614,1.32E-08,8.808004772,143.5713686,0.003343176,0.056410256,10.48552258,238,WALKING
0.002330818,0.00011429,0.002330818,1.30E-08,10.69970327,196.9758445,0.003235985,0.048351648,7.595447078,229,WALKING
0.002357143,0.000115815,0.002357143,1.34E-08,9.754178914,180.8266228,0.003748169,0.125714286,21.60761854,237,WALKING
0.002349621,0.000101559,0.002349621,1.03E-08,15.07432743,328.1300152,0.003054548,0.048351648,11.74013548,218,WALKING
0.00231094,0.000113099,0.00231094,1.28E-08,10.51598348,192.5095432,0.003396713,0.058021978,10.55750367,218,WALKING
0.002327057,9.82E-05,0.002327057,9.63E-09,16.11616636,362.9346656,0.002968492,0.041904762,8.008407524,219,WALKING
0.002350696,0.000122918,0.002350696,1.51E-08,8.507210962,144.056242,0.003677671,0.078974359,14.13340783,204,WALKING
0.002338877,0.000118251,0.002338877,1.40E-08,9.293623295,164.0973316,0.003663054,0.106373626,18.14975031,234,WALKING
0.002320611,0.000132595,0.002320611,1.76E-08,6.785478649,100.9782698,0.003779436,0.072527473,11.62062678,223,WALKING
0.002364127,0.000109188,0.002364127,1.19E-08,12.48885913,250.5627232,0.003182056,0.043516484,7.977426545,240,WALKING
0.002334042,0.000108611,0.002334042,1.18E-08,12.05950879,239.6205431,0.003235317,0.06043956,11.58233688,223,WALKING
0.002344249,0.000120016,0.002344249,1.44E-08,9.291230238,161.071403,0.003491928,0.058021978,8.884961271,253,WALKING
0.002330281,0.00011556,0.002330281,1.33E-08,10.19431081,185.8780253,0.003320972,0.06043956,12.49689178,221,WALKING
0.00233619,0.000113555,0.00233619,1.29E-08,10.6447259,197.7971603,0.003416525,0.047545788,8.845180048,243,WALKING
0.002409255,0.000120535,0.002409255,1.45E-08,9.734157703,175.452822,0.003575066,0.072527473,12.96115657,203,WALKING
0.00231685,0.000148901,0.00231685,2.21E-08,5.164520274,59.43767257,0.004747997,0.107985348,16.88778475,212,WALKING
0.002302882,0.000140591,0.002302882,1.97E-08,5.719255368,74.44009298,0.004165426,0.085421245,12.09151109,207,WALKING
0.002259902,0.000109151,0.002259902,1.19E-08,10.93012967,204.0924381,0.003270563,0.046739927,8.747136805,279,WALKING
0.002312552,0.000109122,0.002312552,1.19E-08,11.8423654,227.7409115,0.00322554,0.045128205,9.618744003,245,WALKING
0.002386154,0.00014974,0.002386154,2.24E-08,5.567030209,68.27618853,0.004306178,0.074139194,9.263460661,235,WALKING
0.002387766,0.000133259,0.002387766,1.77E-08,6.863788767,105.3444415,0.004221245,0.101538462,12.69524651,242,WALKING
0.002367888,0.000130938,0.002367888,1.71E-08,7.191535322,111.6826859,0.004007245,0.073333333,9.954497685,217,WALKING
0.002377558,0.000173845,0.002377558,3.02E-08,4.446057363,39.60855281,0.004666193,0.097509158,13.55710727,224,WALKING
0.00233619,0.000121505,0.00233619,1.47E-08,8.558338696,144.8794344,0.003773937,0.073333333,10.56989271,231,WALKING
0.002381319,0.000144683,0.002381319,2.09E-08,5.863385525,77.03049731,0.004213345,0.077362637,9.46756229,227,WALKING
0.002393138,0.000151145,0.002393138,2.28E-08,5.056089013,61.86996651,0.004785392,0.081391941,10.01980897,249,WALKING
0.002369499,0.000151709,0.002369499,2.30E-08,5.207829577,61.85226603,0.004404916,0.096703297,14.72713669,204,WALKING
0.003211893,0.000152252,0.003211893,2.31E-08,12.0116143,229.9575605,0.004263263,0.058827839,9.167683693,247,WALKING
0.003373602,0.000149851,0.003373602,2.24E-08,14.33445616,301.3530796,0.004252899,0.053992674,6.537233969,238,WALKING
0.003423565,0.000152762,0.003423565,2.33E-08,13.61786918,286.3485684,0.004574518,0.112820513,18.05670545,241,WALKING
0.003402613,0.000138248,0.003402613,1.91E-08,18.45986852,435.3462791,0.004040683,0.054798535,8.476062525,200,WALKING
0.003360171,0.000149291,0.003360171,2.23E-08,14.32294414,299.8725217,0.004269652,0.049157509,7.644033502,228,WALKING
0.003342979,0.000133727,0.003342979,1.79E-08,19.33291936,465.4008545,0.003911854,0.050769231,8.755205633,219,WALKING
0.003287643,0.000155914,0.003287643,2.43E-08,11.51113045,223.1572995,0.004549957,0.092673993,12.3094198,200,WALKING
0.003273675,0.00015744,0.003273675,2.48E-08,11.12479512,209.4837422,0.004645284,0.107985348,17.95511343,213,WALKING
0.003240366,0.000158247,0.003240366,2.50E-08,10.62572077,197.6060767,0.004577166,0.07978022,11.5320012,208,WALKING
0.003293016,0.000140011,0.003293016,1.96E-08,16.23581636,363.0907369,0.003985267,0.042710623,6.774034394,251,WALKING
0.003281734,0.0001382,0.003281734,1.91E-08,16.51003982,373.4508747,0.00402545,0.056410256,8.508137921,204,WALKING
0.003276899,0.000153374,0.003276899,2.35E-08,12.30908062,241.5223654,0.004320421,0.050769231,7.554208033,243,WALKING
0.003295165,0.000146366,0.003295165,2.14E-08,14.05826631,297.5461997,0.004237918,0.073333333,11.31421445,218,WALKING
0.003273675,0.00014192,0.003273675,2.01E-08,14.46890795,311.0984073,0.004627554,0.099120879,12.97373007,226,WALKING
0.00332149,0.000144618,0.00332149,2.09E-08,15.03941058,327.7171423,0.004109587,0.058021978,7.54957655,208,WALKING
0.003249499,0.000200311,0.003249499,4.01E-08,5.969481851,74.06689981,0.00589707,0.116043956,11.41064647,213,WALKING
0.00325917,0.000165137,0.00325917,2.72E-08,9.550047853,166.9832352,0.004872835,0.087032967,10.99765253,212,WALKING
0.003208669,0.0001368,0.003208669,1.87E-08,15.74053528,346.012206,0.004174039,0.077362637,10.52204313,262,WALKING
0.003241441,0.000139785,0.003241441,1.95E-08,15.39743599,334.4307086,0.004145227,0.066080586,11.5672111,241,WALKING
0.003332772,0.000184262,0.003332772,3.39E-08,7.912978766,119.6530416,0.005133895,0.070915751,8.240856952,234,WALKING
0.003322564,0.00015803,0.003322564,2.49E-08,11.01481787,211.1608837,0.005006666,0.107985348,13.92282982,236,WALKING
0.003332234,0.000158499,0.003332234,2.51E-08,11.16834744,215.5059885,0.004819536,0.087838828,9.447202282,220,WALKING
0.003309133,0.000200807,0.003309133,4.03E-08,6.572244285,83.29501604,0.005471992,0.102344322,11.85524218,199,WALKING
0.003305372,0.000151318,0.003305372,2.29E-08,12.75778963,257.4247993,0.004506579,0.066886447,8.31507123,227,WALKING
0.003324713,0.000177873,0.003324713,3.16E-08,8.422841471,134.0964563,0.005162385,0.104761905,11.47352915,226,WALKING
